Прізвище;Ім'я;По-батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Ґалаґан;Демид;Віталійович;Чоловіча;1964-12-25;Дипломат;селище Докучаєвськ;вулиця Балтський 6-й, буд. 270, Самбір, 11000;+380 71 378-30-31;semenstets@example.org
Шутько;Яків;Олександрович;Чоловіча;1995-01-20;Геофізик;місто Копичинці;узвіз Ювілейний 1-й, буд. 3 кв. 5, Кам'янка-Бузька, 10240;475 96 42;andriievychliliia@example.com
Худяк;Соломон;Венедиктович;Чоловіча;1984-04-18;Історик;селище Олевськ;узвіз Героїв оборони Одеси, буд. 69 кв. 5, Гірник , 19846;070-72-02;solomiiadakhno@example.org
Гоголь-Яновська;Клавдія;Лізаівна;Жіноча;1970-09-12;Геолог;місто Стрий;шосе Маринеско узвіз, буд. 7 кв. 7, Нікополь, 50811;947-60-02;ihor07@example.com
Гук;Соломія;Оленаівна;Жіноча;1993-10-06;Антрополог;хутір Герца;площа Отрадна, буд. 7 кв. 72, Ірміно, 86414;762-04-59;bohodarbhydenko@example.com
Габелко;Валентин;Зорянович;Чоловіча;1994-05-20;Скульптор;селище Мала Виска;парк Докова, буд. 1, Кам'янка-Бузька, 80296;624-98-45;hennadiiatamanchuk@example.net
Кабаненко;Ростислав;Францович;Чоловіча;1950-04-29;Художник;село Кам'янка-Дніпровська;проспект ім. С.Ю. Вітте, буд. 5, Белз, 72931;+380 34 220-68-38;datsenkoborys@example.com
Ільєнко;Орхип;Михайлоович;Чоловіча;1979-04-28;Бібліограф;хутір Фастів;проспект Амурський 2-й, буд. 208, Куп'янськ, 74110;268-80-23;jmazur@example.net
Ляшко;Альбіна;Віраівна;Жіноча;1944-06-24;Електромонтажник;місто Тернопіль;площа Мічуріна, буд. 80, Покров, 18801;080 233-82-65;dmytro81@example.net
Забіла;Володимира;Мартаівна;Жіноча;2002-06-02;Дантист;село Очаків;парк Восьмого Березня Лінія 5-та, буд. 148, Пирятин, 78147;+380 (11) 040-84-32;iustyna04@example.org
Яценко;Яків;Устимович;Чоловіча;1991-01-21;Кухар;хутір Бердянськ;парк Гранатний, буд. 77 кв. 0, Бунге , 40573;048 030 08 45;protsenkooryna@example.org
Шутько;Розалія;Іренаівна;Жіноча;1943-08-28;Краєзнавець;хутір Токмак;узвіз Житомирський 3-й, буд. 124 кв. 429, Виноградів, 05843;870-06-83;gfurs@example.org
Гузенко;Орхип;Глібович;Чоловіча;1968-03-02;Соціолог;селище Мукачево;проспект Курська, буд. 31, Дружківка, 80861;+380 03 662-34-23;perebyinisalbina@example.com
Дробаха;Ігнат;Олександрович;Чоловіча;1949-06-17;Швачка;місто Мостиська;площа Мічуріна, буд. 69 кв. 9, Лохвиця, 06533;653 90 94;symonbazavluchenko@example.org
Корсун;Борис;Георгійович;Чоловіча;1967-01-08;Кушнір;хутір Новий Буг;вулиця Штурвальна, буд. 508, Липовець, 36233;+380 43 795-08-41;havrylenkohryhorii@example.com
Колодуб;Василина;Златославаівна;Жіноча;1965-10-02;Юрист;селище Миронівка;сквер Більшовицький, буд. 9 кв. 9, Добромиль, 13737;077-76-07;liudmylabatih@example.com
Давиденко;Арсен;Миколайович;Чоловіча;1943-01-25;Стропальник;селище Валки ;сквер Мазараті, буд. 8 кв. 72, Шепетівка, 66992;624 84 05;wderhach@example.net
Овчаренко;Варфоломій;Бориславович;Чоловіча;2008-07-23;Кухар;село Ворожба;набережна Єлисаветградський, буд. 19, Іловайськ, 55807;+380 44 343-28-72;sskorobohatko@example.net
Байрак;Азар;Симонович;Чоловіча;1990-12-21;Конструктор;селище Моспине;площа Зоряна, буд. 766 кв. 058, Славута, 41252;+380 55 964-30-26;makar74@example.org
Канівець;Варвара;Соломіяівна;Жіноча;1999-02-02;Драматург;хутір Буринь;вулиця Студентський, буд. 78 кв. 84, Мала Виска, 04503;349 18 50;viktoriiakaras@example.org
Ґалаґан;Ада;Єлисаветаівна;Жіноча;1995-12-02;Бухгалтер;місто Вишгород;провулок Нежданової, буд. 3 кв. 4, Хмельницький, 37503;016 138-91-38;liudmyladzhun@example.org
Колісниченко;Данна;Галинаівна;Жіноча;1950-07-10;Астроном;село Шаргород;набережна Лузанівський, буд. 332 кв. 57, Сватове, 78826;073 640-63-38;chupalo@example.net
Шухевич;Орхип;Арсенович;Чоловіча;1943-02-25;Паралегал;хутір Борислав;шосе Красна, буд. 6 кв. 03, Новгород-Сіверський, 77940;+380 42 076 79 01;dmytro50@example.net
Єременко;Георгій;Венедиктович;Чоловіча;1997-02-07;Менеджер;хутір Павлоград;сквер Гагаріна, буд. 3, Чортків, 98848;+380 81 135 55 87;demydkorsun@example.net
Ажажа;Пріска;Володимираівна;Жіноча;1997-06-25;Конструктор;місто Буча;вулиця Каховський, буд. 779, Ізяслав, 55801;+380 28 473-24-31;fesenkostefan@example.net
Дараган;Амалія;Богданнаівна;Жіноча;1993-09-04;Правник;село Ізмаїл;парк Академіка Вільямса, буд. 5, Снятин, 36129;+380 (78) 690-12-05;orest39@example.com
Тесленко;Ярема;Віталійович;Чоловіча;1939-08-09;Музикознавець;село Амвросіївка;сквер Учнівська, буд. 86 кв. 41, Карлівка, 65118;+380 72 907-75-83;iaremahunko@example.org
Рак;Анастасія;Златославаівна;Жіноча;2002-07-31;Візажист;селище Берегове;проспект Посмітного, буд. 8, Прилуки, 07917;490-12-12;bohdan76@example.com
Голик;Болеслав;Варфоломійович;Чоловіча;1989-09-13;Намотувальник;селище Оріхів;набережна Маршала Малиновського, буд. 17 кв. 44, Славутич, 29396;+380 67 527 16 03;simashkevychtetiana@example.com
Шиян;Віолетта;Анастасіяівна;Жіноча;1961-09-19;Менеджер;хутір Сміла;парк Проїзний 3-й, буд. 111 кв. 789, Калуш, 21965;+380 21 258-98-12;kyrylochupryna@example.net
Забашта;Едита;Ларисаівна;Жіноча;1947-07-20;Інженер;селище Костопіль;площа Супутників, буд. 776 кв. 2, Снятин, 81644;079 851-26-60;dashenkoievhen@example.com
Шило;Лариса;Ярославаівна;Жіноча;2008-01-21;Професор;село Гнівань;парк 21-й км Старокиївської дороги, буд. 73, Ямпіль, 16816;+380 47 168-58-46;darynashcherban@example.com
Тичина;Сергій;Федірович;Чоловіча;1948-03-14;Дерун;село Бурштин ;шосе Хаджибейська дорога, буд. 3 кв. 42, Городенка, 60582;+380 47 485 16 42;dandreiko@example.org
Мазепа;Єфрем;Миколайович;Чоловіча;1945-10-15;Юрист;село Дніпрорудне;провулок Станційна 2-га, буд. 2, Попасна, 64589;349-72-16;mderevianko@example.net
Парасюк;Василина;Аллаівна;Жіноча;1967-11-24;Фермер;село Луцьк;проспект Прохоровська, буд. 371, Рава-Руська, 17852;086 552-65-88;vadymkadeniuk@example.com
Венгринович;Анастасія;Віраівна;Жіноча;1945-12-03;Реставратор;місто Верхньодніпровськ;площа Шухевича Романа, буд. 0, Конотоп, 39504;455 32 68;hudovychenko@example.net
Короленко;Святослав;Германович;Чоловіча;1995-09-12;Літературознавець;хутір Путивль;провулок Канатний, буд. 721 кв. 3, Чигирин, 94329;031 942-16-74;pkonoplenko@example.org
Притула;Охрім;Станіславович;Чоловіча;1994-04-22;Паралегал;місто Скалат;парк Восьмого березня 4-й, буд. 8 кв. 7, Костянтинівка, 48183;+380 (74) 060-48-06;dashkevychmyroslav@example.com
Палій;Лукʼян;Борисович;Чоловіча;1974-04-08;Випробувач;селище Стебник;набережна Отамана Головатого, буд. 052, Ржищів, 82656;077 160 18 18;halyna99@example.org
